Sentence ID,Practice Problem,Subject,Variable Testing,Tokens,Labels
1,"A car starts from rest at constant acceleration of 2.0 m/s2. At the same instant
a truck travelling with a constant speed of 10 m/s overtakes and passes the car.",Kinematics,m,"['A', 'car', 'starts', 'from', 'rest', 'at', 'constant', 'acceleration', 'of', '2.0', 'm', '/', 's', '2', '.', 'At', 'the', 'same', 'instant', 'a', 'truck', 'travelling', 'with', 'a', 'constant', 'speed', 'of', '10', 'm', '/', 's', 'overtakes', 'and', 'passes', 'the', 'car', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
2,"A stone is dropped from a height of 19.6 m, above the ground while a second
stone is simultaneously projected from the ground with sufficient velocity to
enable it to ascend 19.6 m. When and where the stones would meet.",Kinematics,m,"['A', 'stone', 'is', 'dropped', 'from', 'a', 'height', 'of', '19.6', 'm', ',', 'above', 'the', 'ground', 'while', 'a', 'second', 'stone', 'is', 'simultaneously', 'projected', 'from', 'the', 'ground', 'with', 'sufficient', 'velocity', 'to', 'enable', 'it', 'to', 'ascend', '19.6', 'm', '.', 'W', 'hen', 'and', 'where', 'the', 'stones', 'would', 'meet', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
3,"A man of height 1.8 m walks away from a lamp at a height of 6 m. If the man’s speed is 7 m/s, find the speed in m/s at which the tip of the shadow moves.",Kinematics,m,"['A', 'man', 'of', 'height', '1.8', 'm', 'walks', 'away', 'from', 'a', 'lamp', 'at', 'a', 'height', 'of', '6', 'm', '.', 'If', 'the', 'man', '’', 's', 'speed', 'is', '7', 'm', '/', 's', ',', 'find', 'the', 'speed', 'in', 'm', '/', 's', 'at', 'which', 'the', 'tip', 'of', 'the', 'shadow', 'moves', '.']","['O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
4,"A boy observes a cricket ball move up and down past a window 2 m high. If
the total time the ball is in sight is 1.0 s, find the height above the window that
the ball rises.",Kinematics,m,"['A', 'boy', 'observes', 'a', 'cricket', 'ball', 'move', 'up', 'and', 'down', 'past', 'a', 'window', '2', 'm', 'high', '.', 'If', 'the', 'total', 'time', 'the', 'ball', 'is', 'in', 'sight', 'is', '1.0', 's', ',', 'find', 'the', 'height', 'above', 'the', 'window', 'that', 'the', 'ball', 'rises', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
5,A container of m 200 kg rests on the back of an open truck.,Force and Torque,m,"['A', 'container', 'of', 'm', '200', 'k', 'g', 'rests', 'on', 'the', 'back', 'of', 'an', 'open', 'truck', '.']","['O', 'O', 'O', 'MASS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
6,"Find the centre of m of a semicircular disc of radius R and of uniform
density.",Centre of Mass,m,"['Find', 'the', 'centre', 'of', 'm', 'of', 'a', 'semicircular', 'disc', 'of', 'radius', 'R', 'and', 'of', 'uniform', 'density', '.']","['O', 'O', 'O', 'O', 'MASS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
7,Find the centre of m of a solid cone of height h.,Centre of Mass,m,"['Find', 'the', 'centre', 'of', 'm', 'of', 'a', 'solid', 'cone', 'of', 'height', 'h', '.']","['O', 'O', 'O', 'O', 'MASS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
8,"Three blocks of mass m1, m2 and m3 interconnected by cords are pulled by a
constant force F on a frictionless horizontal table, Fig. 2.1. Find",Motion of Blocks on a Plane,m,"['Three', 'blocks', 'of', 'mass', 'm', '1', ',', 'm', '2', 'and', 'm', '3', 'interconnected', 'by', 'cords', 'are', 'pulled', 'by', 'a', 'constant', 'force', 'F', 'on', 'a', 'frictionless', 'horizontal', 'table', ',', 'Fig', '.', '2.1', '.', 'Find']","['O', 'O', 'O', 'O', 'MASS', 'O', 'O', 'MASS', 'O', 'O', 'MASS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
9,A uniform chain of length L and mass M is lying on a smooth table and onethird of its length is hanging vertically down over the edge of the table. ,Motion of Blocks on a Plane,m,"['A', 'uniform', 'chain', 'of', 'length', 'L', 'and', 'mass', 'M', 'is', 'lying', 'on', 'a', 'smooth', 'table', 'and', 'onethird', 'of', 'its', 'length', 'is', 'hanging', 'vertically', 'down', 'over', 'the', 'edge', 'of', 'the', 'table', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'MASS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
10,"A block of m of 2 kg slides on an inclined plane that makes an angle of
30◦ with the horizontal.",Motion on Incline,m,"['A', 'block', 'of', 'm', 'of', '2', 'k', 'g', 'slides', 'on', 'an', 'inclined', 'plane', 'that', 'makes', 'an', 'angle', 'of', '30', '◦', 'with', 'the', 'horizontal', '.']","['O', 'O', 'O', 'MASS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
11,"Find the displacement when
the v is zero.",Kinematics,v,"['Find', 'the', 'displacement', 'when', 'the', 'v', 'is', 'zero', '.']","['O', 'O', 'O', 'O', 'O', 'VELOCITY', 'O', 'O', 'O']"
12,"A ball is dropped into a lake from a diving board 4.9 m above the water. It
hits the water with velocity v and then sinks to the bottom with the constant
velocity v.",Kinematics,v,"['A', 'ball', 'is', 'dropped', 'into', 'a', 'lake', 'from', 'a', 'diving', 'board', '4.9', 'm', 'above', 'the', 'water', '.', 'It', 'hits', 'the', 'water', 'with', 'velocity', 'v', 'and', 'then', 'sinks', 'to', 'the', 'bottom', 'with', 'the', 'constant', 'velocity', 'v', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VELOCITY', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VELOCITY', 'O']"
13,"A projectile is fired at an angle of 60˚ to the horizontal with an initial velocity
of 800 m/s:",Kinematics,v,"['A', 'projectile', 'is', 'fired', 'at', 'an', 'angle', 'of', '60', '˚', 'to', 'the', 'horizontal', 'with', 'an', 'initial', 'velocity', 'of', '800', 'm', '/', 's', ':']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'METER', 'O', 'O', 'O']"
14,"An object is projected horizontally with v 10 m/s. Find the radius of
curvature of its trajectory in 3 s after the motion has begun",Kinematics,v,"['An', 'object', 'is', 'projected', 'horizontally', 'with', 'v', '10', 'm', '/', 's', '.', 'Find', 'the', 'radius', 'of', 'curvature', 'of', 'its', 'trajectory', 'in', '3', 's', 'after', 'the', 'motion', 'has', 'begun']","['O', 'O', 'O', 'O', 'O', 'O', 'VELOCITY', 'O', 'METER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
15,"V of the disc is dV =
πr 2dz",Moment of Inertia,v,"['V', 'of', 'the', 'disc', 'is', 'dV', '=', 'r', '2', 'dz']","['VOLUME', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
16,"Assume that a star has uniform density. Show that the gravitational pressure
P∝V −4/3, where V is the volume.",Field and Potential,v,"['Assume', 'that', 'a', 'star', 'has', 'uniform', 'density', '.', 'Show', 'that', 'the', 'gravitational', 'pressure', 'P', '∝', 'V', '−', '4', '/', '3', ',', 'where', 'V', 'is', 'the', 'volume', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VOLUME', 'O', 'O', 'O', 'O', 'O', 'O', 'VOLUME', 'O', 'O', 'O', 'O']"
17,A capacitor of capacitance 5μF is charged up to a PD of 250 V,Gauss's Law,v,"['A', 'capacitor', 'of', 'capacitance', '5', 'F', 'is', 'charged', 'up', 'to', 'a', 'PD', 'of', '250', 'V']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VOLTAGE']"
18,"Three capacitors of capacitance 4, 3 and 2μF, respectively, are connected in series to a battery of 240 V.",Gauss's Law,v,"['Three', 'capacitors', 'of', 'capacitance', '4', ',', '3', 'and', '2', 'F', ',', 'respectively', ',', 'are', 'connected', 'in', 'series', 'to', 'a', 'battery', 'of', '240', 'V', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VOLTAGE', 'O']"
19,"Each of the two capacitors A and B of capacitances 1.0 and 2.0μF, respectively, are charged initially by connecting them in turn to a 12 V battery",Gauss's Law,v,"['Each', 'of', 'the', 'two', 'capacitors', 'A', 'and', 'B', 'of', 'capacitances', '1.0', 'and', '2.0', 'F', ',', 'respectively', ',', 'are', 'charged', 'initially', 'by', 'connecting', 'them', 'in', 'turn', 'to', 'a', '12', 'V', 'battery']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VOLTAGE', 'O']"
20,In an R–C circuit the emf supplied by the battery is 120 V,Gauss's Law,v,"['In', 'an', 'R', '–', 'C', 'circuit', 'the', 'emf', 'supplied', 'by', 'the', 'battery', 'is', '120', 'V']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'VOLTAGE']"
21,"A projectile is fired with p at an angle θ with the horizontal on a
plain ground at the point A. It reaches the point B. Calculate the magnitude of
change in momentum at A and B.",Collisions,p,"['A', 'projectile', 'is', 'fired', 'with', 'p', 'at', 'an', 'angle', 'with', 'the', 'horizontal', 'on', 'a', 'plain', 'ground', 'at', 'the', 'point', 'A', '.', 'It', 'reaches', 'the', 'point', 'B', '.', 'Calculate', 'the', 'magnitude', 'of', 'change', 'in', 'momentum', 'at', 'A', 'and', 'B', '.']","['O', 'O', 'O', 'O', 'O', 'MOMENTUM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
22,"Consider a point mass m with momentum p rotating at a distance r about an
axis. ",Rotational Dynamics,p,"['Consider', 'a', 'point', 'mass', 'm', 'with', 'momentum', 'p', 'rotating', 'at', 'a', 'distance', 'r', 'about', 'an', 'axis', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'MOMENTUM', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
23,"P at the rate of 104 kW has to be supplied through 30 km of cable of
resistance 0.7 /km.",Electric Circuits,p,"['P', 'at', 'the', 'rate', 'of', '104', 'kW', 'has', 'to', 'be', 'supplied', 'through', '30', 'km', 'of', 'cable', 'of', 'resistance', '0.7', '\x11', '/', 'km', '.']","['POWER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
